Tema;Nombre;Señal;Anhelo;Acción;Recompensa
GESTION_DEL_TIEMPO;Planificación Semanal;Viernes 16:30;Claridad mental;Revisar agenda semanal 30min;Sensación de control
GESTION_DEL_TIEMPO;Registro único de tareas;;;;
GESTION_DEL_TIEMPO;Planificación dia siguiente;Cada día fin del día;;;
GESTION_DEL_TIEMPO;Tiempo de FOCO;Cada dia 8:30;;Dedicar 60 min diarios a tareas IMPORTANTES no URGENTES;
GESTION_DEL_TIEMPO;Bloquear notificaciones;SIEMPRE;;Eliminar todas las notificaciones del ordenador y del movil;
GESTION_DEL_TIEMPO;NO VER EL CORREO por la malana;Cada dia 8:30;;NO VER EL CORREO por la malana;
DINERO;Revisión Cashflow Semanal;Viernes 12h;Tranquilidad;Actualizar Excel;Cerveza con el equipo
DINERO;P&G Semanal;;;;
DINERO;P&G Mensual;;;;
DINERO;Balance Mensual;;;;
DINERO;Revisión Precios Anual;;;;
DINERO;Seguimiento gastos personales;;;;
DINERO;Separar Ganancias;;;;
DINERO;Separar Impuestos;;;;
DESTINO;Mi plan de 90 dias;;;;
DESTINO;Mi CANVAS al día;;;;
SERVICIO;Factores WOW cliente;;;;
SERVICIO;Sistema tratamiento reclamaciones ONLINE;;;;
SERVICIO;Sistema tratamiento reclamaciones físicas;;;;
NICHO (MKT y VENTA);Seguimiento Sospechosos;;;;
NICHO (MKT y VENTA);Seguimiento Prospectos;;;;
NICHO (MKT y VENTA);Seguimiento 5 caminos;;;;
NICHO (MKT y VENTA);Plan de marketing con 10 ;;;;
SISTEMA;Sistema de gestión;;;;
SISTEMA;Actas difundidas;;;;
SISTEMA;Relevo asegurado;;;;
EQUIPO;Reunión 1:1;Miércoles 10h;Alineación;Escuchar sin móvil 30min;Equipo motivado
SALUD;Caminar 10k pasos;Al salir del trabajo;Despejar mente;Caminar 1h;Dormir mejor
